PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2016-04-18 16:49:47,balyuk-nn,4,1,103_38_HP_2727,"Microsoft Word - Polojenie_ 30102014_30102014",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,174kb,
2016-04-18 16:49:59,balyuk-nn,1,1,103_38_HP_2727,"Microsoft Word - Polojenie_ 30102014_30102014",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,43kb,
2016-04-18 16:51:57,panarina,1,1,103_38_HP_2727,"Microsoft Word - Документ2",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,44kb,
2016-04-18 16:53:20,balyuk-nn,2,1,103_38_HP_2727,"sr_0v028414.xls",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,95kb,
2016-04-18 16:54:18,balyuk-nn,2,1,103_38_HP_2727,"sr_0v032937 (2).xls",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,91kb,
2016-04-18 17:14:09,zharkov-sv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - О выводе в ремонт ВЛ",ZHARKOV-SV1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,110kb,
2016-04-18 17:31:59,zharkov-sv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - О выводе в ремонт ВЛ",ZHARKOV-SV1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,111kb,
2016-04-18 17:44:25,lapin-mv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - вх-8137(12814188_вх-8137_15_04_2016)",LAPIN-MV1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,154kb,
2016-04-18 17:44:30,lapin-mv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - вх-8153(12814737_вх-8153_15_04_2016)",LAPIN-MV1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,121kb,
2016-04-18 17:47:06,rozanov,56,1,102_38_HP_CLJ_5525,"tr2011.pdf",ROZANOV-ME,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,20393kb,
2016-04-18 17:54:58,rozanov,100,1,102_38_HP_CLJ_5525,"tr2014.pdf",ROZANOV-ME,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,33547kb,
2016-04-18 18:38:08,kosarin,1,1,102_38_HP_CLJ_5525,"Microsoft Word - А4",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,392kb,
2016-04-18 22:36:47,lukash,6,1,102_38_HP_CLJ_5525,"Microsoft Word - Папки к селектору.doc",INFORMATOR-REZ,A3,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,115kb,
2016-04-19 01:03:26,lukash,1,5,102_38_HP_CLJ_5525,"RMAES.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,659kb,
2016-04-19 01:03:29,lukash,1,3,102_38_HP_CLJ_5525,"RMAES.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1105kb,
2016-04-19 01:03:32,lukash,1,5,102_38_HP_CLJ_5525,"RMAES.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1175kb,
2016-04-19 04:33:00,lukash,1,5,102_38_HP_CLJ_5525,"g1.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,78kb,
2016-04-19 04:48:41,lukash,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1207kb,
2016-04-19 04:48:43,lukash,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1207kb,
2016-04-19 04:48:46,lukash,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1207kb,
2016-04-19 04:48:48,lukash,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1207kb,
2016-04-19 04:48:51,lukash,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1207kb,
2016-04-19 05:51:56,lukash,10,4,102_38_HP_CLJ_5525,"Backup_Editform1iss.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,303kb,
2016-04-19 05:52:16,lukash,24,2,102_38_HP_CLJ_5525,"form1A.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,370kb,
2016-04-19 05:54:58,baturin,3,1,102_38_HP_CLJ_5525,"Microsoft Word - Справка Донбасс 190416",DISP-CR1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,170kb,
2016-04-19 05:59:00,baturin,5,1,102_38_HP_CLJ_5525,"Microsoft Word - РАПОРТ 19.04.16",DISP-CR1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,215kb,
2016-04-19 06:01:20,lukash,2,5,102_38_HP_CLJ_5525,"Backup_Editform4iss.xls",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,86kb,
2016-04-19 07:33:30,smirnova-ei,3,1,103_38_HP_2727,"АП РФ _ о представлении информации о создании РГ по унификации норм зако   .pdf",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,352kb,
2016-04-19 07:34:21,smirnova-ei,1,1,103_38_HP_2727,"Microsoft Outlook - Заметка",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,103kb,
2016-04-19 07:34:30,smirnova-ei,1,1,103_38_HP_2727,"вх-7175(12741105_вх-7175_05_04_2016).PDF",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,205kb,
2016-04-19 08:46:26,kovyazin-da,27,1,102_38_HP_CLJ_5525,"блв19.04_6-00.xlsx",INFORMATOR-DOP,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,408kb,
2016-04-19 08:52:46,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Ц.СВ.У 0852",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,107kb,
2016-04-19 08:52:58,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Центр.СВ",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,108kb,
